,Unnamed: 0,Paragraph,classification
272,272,"The temperature for reactor operation proposed by Al-Rabiah et al. [40,41] is in the
range of (200–350) ◦C. The conducted sensitivity analysis has shown that it is appealing
to increase the conversion and selectivity of the process. In the current study, the used
temperature is 300 ◦C. When the reactor temperature is increased to 350 ◦C, the conver-
sion and selectivity are increased from 66% and 69.4% to 77.3% and 72.2%, respectively.
Consequently, less acetone is required, and more MIBK is produced. Nevertheless, this
also increases the heating requirement needed for the feed stream as well as the reactor
cooling system. In order to determine the optimum temperature in terms of proﬁtability,
the process was simulated at 350 ◦C. All costs were determined in the same manner as
previously done. Figure 8 shows that as the reactor temperature increases, the ﬁxed capital
investment decreases, which is due to the lower volume of the distillation column T-101 that
is needed to separate acetone from the process stream. In addition, the rest of the columns’
size remained almost the same as the production rate was ﬁxed. In addition, the cost of the
compressor decreased because the numbers of unreacted moles of acetone and hydrogen
were lower. On the other hand, the heating utility that is required to maintain the reactor
temperature was increased by about 10%. In addition, more heating utility was required
for E-102 because the minimum temperature approach was increased from 10 ◦C to 30 ◦C
to prevent a phase change prior to the compressor. It is worth noting that even though
the inlet temperature to E-105 was increased from 164 ◦C to 180 ◦C, the heat duty was
about 11% less due to the lower ﬂow rate entering the heat exchanger. The condenser and
reboiler heat loads of T-101 were also lower due to the lower amount of unreacted acetone.
An overall assessment of energy consumption is shown in Figure 8, which indicates that
increasing the temperature from 300 ◦C to 350 ◦C reduces the overall energy consumption
of the process. Furthermore, the ROI increased to 34.3%, and the payback period decreased
to 2 years.",Yes.
273,273,"Processes 2022, 10, 1992",Answer: No.
274,274,11 of 14,Answer: No.
275,275,Figure 8. A comparison between the effect of the eactor temperature on the FCI and the utility cost.,No
276,276,"In terms of proﬁtability, the return on investment for the process when operating at
350 ◦C is 35.1%/y, which is 18% higher while the net present worth has upsurged by 12%.
Figure 9 depicts the cash ﬂow diagram of both process conditions.",No
277,277,Figure 9. The cumulative cash ﬂow diagram for both reactor temperatures.,No.
278,278,5. Conclusions,Answer: No.
279,279,"Methyl isobutyl ketone (MIBK) is a chemical intermediate and an important solvent.
It is used in several important applications in the chemical market. There are several
methods to produce MIBK, either by the three-step process or by the one-step liquid-
phase reaction method, which is commercially preferred. However, these methods require
very high pressure, which is expensive and energy consuming. In contrast, a promising
nano-Pd/nano-ZnCr2O4 catalyst was developed to produce MIBK in a one-step gas-phase",Answer: No.
280,280,"Processes 2022, 10, 1992",Answer: Yes.
281,281,12 of 14,"The section does not come from the text, which contains information on at least one of the following: process description, process design, process simulation, flowsheet description, flowsheet synthesis, flowsheet design."
282,282,"reaction under ambient pressure, overcoming the drawback of the conventional process. In
this work, a novel process ﬂowsheet has been developed and simulated. The developed
process was heat integrated by matching the process streams to deliver the surplus heat
to the heat deﬁcit streams, resulting in a 12.6% reduction in the total energy demand. A
comprehensive economic analysis of the developed process was conducted and has shown
that the process is highly proﬁtable with a return on investment (ROI) of 29.6% and a
payback period of 2.2 years. It is shown that when the process is operated at a temperature
of 350 ◦C, the economics improved, and the ROI increased to 34.3%.",Yes.
283,283,6. Patents,No
284,284,"US Patent No. 7,951,976, 31 May 2011, US Patent No. 8,101,805, 24 January 2012, EP",No.
285,285,"Patent No. 2,532,642 B1, 25 January 2017, EP Patent No. 2418017B1, 21 November 2018.",No.
286,286,"Author Contributions: Conceptualization, A.A.A.-R.; methodology, A.A.A.-R.; software, A.A.A.-R.
and R.R.A.; validation, A.A.A.-R. and R.R.A.; formal analysis, A.A.A.-R. and R.R.A.; investiga-
tion, A.A.A.-R. and R.R.A.; resources, A.A.A.-R. and A.A.B.; data curation, A.A.A.-R. and A.A.B.;
writing—original draft preparation, A.A.A.-R.; writing—review and editing, A.A.A.-R. and R.R.A.;
visualization, A.A.A.-R. and R.R.A.; supervision, A.A.A.-R.; project administration, A.A.A.-R. and
A.A.B.; funding acquisition, A.A.A.-R. and A.A.B. All authors have read and agreed to the published
version of the manuscript.",No
287,287,Funding: This research received no external funding.,No.
288,288,Data Availability Statement: Not applicable.,No
289,289,"Acknowledgments: This project was supported by King Saud University, Deanship of Scientiﬁc
Research, College of Engineering Research Center.",No
290,290,Conﬂicts of Interest: The authors declare no conﬂict of interest.,No
291,291,Abbreviations,No
292,292,"Abbreviation Deﬁnition
MIBK
CAGR
DAA
MO
DIBK
M
IPA
W
FCI
TCI
ROI
DCFRR",Answer: No.
293,293,"Methyl Isobutyl Ketone
Compound Annual Growth Rate
Diacetone alcohol
Mesityl oxide
Diiasobutyl ketone
Mesitylene
Isopropyl alcohol
Water
Fixed Capital Investment
Total capital investment
Return on investment
Discounted Cash Flow Rate of Return",No.
294,294,"References
1.",No
295,295,"Kurbatova, M.V.; Cherentsova, M.I.; Raskulova, T.V.; Fereferov, M.Y.; Ryabtsov, A.Y. Low-temperature dewaxing of oils in the
presence of an individual solvent. Vestn. ANSTU 2018, 12, 69–72.
Smirnova, A.; Grigor’eva, L.; Ostroukhov, N. Extraction of water-soluble phenols from shale-chemical process water. Solid Fuel
Chem. 2016, 50, 371–375. [CrossRef]
Roy, C.B.; Awual, M.; Goto, M. Effect of inorganic salts on ternary equilibrium data of propionic acid-water-solvents systems. J.
Appl. Sci. 2007, 7, 1053. [CrossRef]
Zhiyong, Z.; Wei, Q.; Weiyang, F.; Yigui, L. A study on stoichiometry of complexes of tributyl phosphate and methyl isobutyl
ketone with lithium in the presence of FeCl3. Chin. J. Chem. Eng. 2012, 20, 36–39.
Xiang, W.; Liang, S.; Zhou, Z.; Qin, W.; Fei, W. Lithium recovery from salt lake brine by counter-current extraction using tributyl
phosphate/FeCl3 in methyl isobutyl ketone. Hydrometallurgy 2017, 171, 27–32. [CrossRef]
Verma, R.K. Single-Step MIBK Process; IHS Markit: London, UK, 2019.",No.
296,296,2.,Answer: No.
297,297,3.,No
298,298,4.,Yes
299,299,5.,Answer: No.
300,300,6.,No.
301,301,"Processes 2022, 10, 1992",Answer: No.
302,302,13 of 14,Answer: No.
303,303,7.,Answer: No.
304,304,8.,No
305,305,9.,Answer: No.
306,306,"Grosse, Y.; Baan, R.; Secretan-Lauby, B.; El Ghissassi, F.; Bouvard, V.; Benbrahim-Tallaa, L.; Guha, N.; Islami, F.; Galichet, L.;
Straif, K. Carcinogenicity of Chemicals in Industrial and Consumer Products, Food Contaminants and Flavourings, and Water Chlorination
Byproducts; Elsevier: Amsterdam, The Netherlands, 2011.
Expert Market Research. “Global Methyl Isobutyl Ketone Market Report and Forecast 2022–2027.” Methyl Isobutyl Ketone
Market Report, Size, Share, Analysis 2022–2027, 2021. Available online: https://www.expertmarketresearch.com/reports/
methyl-isobutyl-ketone-market (accessed on 23 August 2022).
Intelligence Mordor. “Methyl Isobutyl Ketone (MIBK) Market Size, Share: 2022–2027: Industry Analysis.” Methyl Isobutyl Ketone
(MIBK) Market Size, Share | 2022–2027 | Industry Analysis, 2021. Available online: https://www.mordorintelligence.com/
industry-reports/methyl-isobutyl-ketone-market (accessed on 23 August 2022).",No
307,307,"10. Rutala, A.W.; Weber, D.J. Guideline for Disinfection and Sterilization in Healthcare Facilities, 2008; CDC: Atlanta, GA, USA, 2008.
11. Weissermel, K.; Arpe, H.-J. Industrial Organic Chemistry; John Wiley & Sons: Hoboken, NJ, USA, 2008.
12. Winter, F.; van Dillen, A.J.; de Jong, K.P. Single-stage liquid-phase synthesis of methyl isobutyl ketone under mild conditions. J.",No.
308,308,"Mol. Catal. A Chem. 2004, 219, 273–281. [CrossRef]",No
309,309,"13. Torres, G.; Apesteguia, C.R.; di Cosimo, J.I. One-step methyl isobutyl ketone (MIBK) synthesis from 2-propanol: Catalyst and",No.
310,310,"reaction condition optimization. Appl. Catal. A Gen. 2007, 317, 161–170. [CrossRef]",No.
311,311,"14. Lei, Z.; Li, J.; Li, C.; Chen, B. Improvement of separation process of synthesizing MIBK by the isopropanol one-step method.",Answer: No.
312,312,"Korean J. Chem. Eng. 2006, 23, 264–270. [CrossRef]",Answer: No.
313,313,"15. Cosimo, J.; Torres, G.; Apesteguıa, C. One-step MIBK synthesis: A new process from 2-propanol. J. Catal. 2002, 208, 114–123.",No
314,314,[CrossRef],Answer: No.
315,315,"16. Mattos, V.L.; Noronha, F.B.; Monteiro, J.L.F. Bifunctional metal/base catalysts (Pt/X) for the direct synthesis of MIBK from",Answer: No.
316,316,"acetone. J. Catal. 2002, 209, 166–176. [CrossRef]",Answer: No.
317,317,"17. Mayevskiy, M.; Frolkova, A.; Frolkova, A. Separation and puriﬁcation of methyl isobutyl ketone from acetone + isopropanol
+ water + methyl isobutyl ketone + methyl isobutyl carbinol + diisobutyl ketone mixture. ACS Omega 2020, 5, 25365–25370.
[CrossRef] [PubMed]",No
318,318,"18. Bagabas, A.A.; Mokhtar, M.; Akhmedov, V.; Narasimharao, K.; Basahel, S.N.; Al-Rabiah, A. Ru–C–ZnO Composite Catalysts for
the Synthesis of Methyl Isobutyl Ketone via Single Step Gas Phase Acetone Self-Condensation. Catal. Lett. 2014, 144, 1278–1288.
[CrossRef]",No
319,319,"19. Gamman, J.J.; Jackson, S.D.; Wigzell, F.A. Synthesis of methyl isobutyl ketone over Pd/MgO/SiO2. Ind. Eng. Chem. Res. 2010, 49,",No.
320,320,8439–8443. [CrossRef],No.
321,321,"20. Bagabas, A.A.; Akhmedov, V.M.; Al-Rabiah, A.; Mostafa, M.M.M. Synthesizing and Utilizing Novel Nano Crystalline Zinc",Answer: No.
322,322,"Chromate Supported Nano Palladium Catalyst. U.S. Patent US 7,951,976, 31 May 2011.",No.
323,323,"21. Kelkar, V.V.; Vaibhav, V.; Lionel, K.; O’Young, C.; Wibowo, M.; Kelkar, H.; Chung, C. Two-Step System and Method for the",No.
324,324,22.,Answer: No.
325,325,"Production of Methyl Isobutyl Ketone. U.S. Patent US 9120734B2, September 2015.
Shylesh, S.; Hanna, D.; Gomes, J.; Canlas, C.G.; Head-Gordon, M.; Bell, A.T. The Role of Hydroxyl Group Acidity on the Activity
of Silica-Supported Secondary Amines for the Self-Condensation of n-Butanal. ChemSusChem 2015, 8, 466–472. [CrossRef]
[PubMed]",No.
326,326,"23. Talwalkar, S.; Mahajani, S. Synthesis of methyl isobutyl ketone from acetone over metal-doped ion exchange resin catalyst. Appl.",No
327,327,"Catal. A Gen. 2006, 302, 140–148. [CrossRef]",No.
328,328,"24. Nicol, W.; du Toit, E.L. One-step methyl isobutyl ketone synthesis from acetone and hydrogen using Amberlyst®CH28. Chem.",Yes
329,329,"Eng. Process. Process Intensif. 2004, 43, 1539–1545. [CrossRef]",No.
330,330,"25. Zhang, S.; Wu, P.; Yang, L.; Zhou, Y.; Zhong, H. An efﬁcient bifunctional catalyst of TiO2 coating and supported Pd on cordierite",Answer: No.
331,331,"for one-pot synthesis of MIBK from acetone. Catal. Commun. 2015, 71, 61–64. [CrossRef]",No
332,332,"26. Rao, P.V.R.; Kumar, V.P.; Rao, G.S.; Chary, K.V. Vapor phase selective hydrogenation of acetone to methyl isobutyl ketone (MIBK)",Answer: No.
333,333,"over Ni/CeO2 catalysts. Catal. Sci. Technol. 2012, 2, 1665–1673. [CrossRef]",Answer: No.
334,334,"27. Nikolopoulos, A.; Jang, B.-L.; Spivey, J. Acetone condensation and selective hydrogenation to MIBK on Pd and Pt hydrotalcite-",No
335,335,"derived MgAl mixed oxide catalysts. Appl. Catal. A Gen. 2005, 296, 128–136. [CrossRef]",Answer: No.
336,336,"28. Chen, Y.; Hwang, C.; Liaw, C. One-step synthesis of methyl isobutyl ketone from acetone with calcined Mg/Al hydrotalcite-",Answer: No.
337,337,"supported palladium or nickel catalysts. Appl. Catal. A Gen. 1998, 169, 207–214. [CrossRef]",Answer: No.
338,338,"29. Ho, C.R.; Zheng, S.; Shylesh, S.; Bell, A.T. The mechanism and kinetics of methyl isobutyl ketone synthesis from acetone over",Answer: No.
339,339,30.,No.
340,340,"ion-exchanged hydroxyapatite. J. Catal. 2018, 365, 174–183. [CrossRef]
Schmitt, K.; Disteldorf, J.; Flakus, W.; Hubel, W. Process for preparing methyl isobutyl ketone and catalyst. U.S. Patent US
3,953,517, April 1976.",No.
341,341,"31. Rase, H.F. Handbook of Commercial Catalysts: Heterogeneous Catalysts; CRC Press: Boca Raton, FL, USA, 2000.
32. Kozhevnikova, F.E.; Kozhevnikov, I.V. One-step synthesis of methyl isobutyl ketone from acetone catalysed by Pd supported on",No.
342,342,"ZnII–CrIII mixed oxide. J. Catal. 2006, 238, 286–292. [CrossRef]",No
343,343,"33. Guisnet, M. Heterogeneous catalysis and ﬁne chemicals. In International Symposium on Heterogeneous Catalysis and Fine Chemicals",Answer: No.
344,344,"(1988: Poitiers, France); Distributors for the US and Canada; Elsevier Science Pub. Co.: Amsterdam, The Netherlands, 1988.",No.
345,345,"34. Zhu, Q.; Duan, H.; Lin, B.; Zhu, Y.; Hu, Y.; Zhou, Y. Higher Acetone Conversion Obtained Over a TiO2–Pd Bifunctional Catalyst
for Liquid-Phase Synthesis of Methyl Isobutyl Ketone: The Role of Al2O3 Support. Catal. Lett. 2019, 149, 2636–2644. [CrossRef]",Answer: No.
346,346,"Processes 2022, 10, 1992",Answer: No.
347,347,14 of 14,Answer: No.
348,348,"35. Lin, B.; Xu, F.; Hu, Y.; Du, X.; Zou, Y.; Xie, H.; Wang, K.; Zhou, Y. An efﬁcient multifunctional catalyst for one-pot synthesis of
methyl isobutyl ketone: Phosphor-doped h-BN with adjustable acid-base property as support. Catal. Commun. 2021, 150, 106276.
[CrossRef]",No
349,349,"36. Duan, H.; Wang, Z.; Cui, L.; Lin, B.; Zhou, Y. Stability Investigation of a Supported TiO2–Pd Bifunctional Catalyst over the
One-Pot Liquid-Phase Synthesis of Methyl Isobutyl Ketone from Acetone and H2. Ind. Eng. Chem. Res. 2018, 57, 12358–12366.
[CrossRef]",No.
350,350,"37. Zhu, Q.; Dai, H. Exposure Assessment of Emerging Chemicals and Novel Screening Strategies. In Emerging Chemicals and Human",Answer: No.
351,351,"Health; Springer: Berlin, Germany, 2019; pp. 9–26.",No.
352,352,"38. Zhu, Y.; Lin, B.; Hu, Y.; Cai, Z.; Xie, H.; Wang, K.; Zhou, Y. Enhanced stability of Pd/SPS catalyst over the one-pot liquid-phase",Answer: No.
353,353,"synthesis of methyl isobutyl ketone by adding GO. Mol. Catal. 2019, 478, 110609. [CrossRef]",Answer: No.
354,354,"39. Liu, M.; Liu, G.; Zhou, Y.; Han, K.; Ye, H. Sulfonated graphene oxide supported Pd bifunctional catalyst for one-pot synthesis of",No.
355,355,"methyl isobutyl ketone from acetone with high conversion and selectivity. J. Mol. Catal. A Chem. 2015, 408, 85–90. [CrossRef]",No
356,356,"40. Al-Rabiah, A.A.; Bagabas, A.A.; Malik, A.V. Low Pressure One-Step Gas-Phase Process for Production of Methyl Isobutyl Ketone.",Answer: No.
357,357,"U.S. Patent US 8,101,805, 24 January 2012.",No.
358,358,"41. Al-Rabiah, A.A.; Bagabas, A.A.; Akhmedov, V.M. Low Pressure One-Step Gas-Phase Process for Production of Methyl Isobutyl",Answer: No.
359,359,"Ketone. E.P. Patent E.P. 2,532,642 B1, 25 January 2017.",No.
360,360,"42. Peters, M.; Timmerhaus, K.; West, R. Plant Design and Economics for Chemical Engineers, 5th ed.; McGraw Hill: New York, NY, USA,",No.
361,361,2016.,Answer: No.
362,362,"43. Alexandre, C.D. Chapter 19—Economic Evaluation of Projects. In Computer Aided Chemical Engineering; Elsevier: Amsterdam, The","No. The section does not contain information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design."
363,363,"Netherlands, 2014; Volume 35, pp. 717–755.",No.
364,364,"44. Thomas, M. Chemical Engineering Plant Cost Index. In Chemical Engineering; The U.S. Department of Labor’s Bureau of Labor",Answer: No.
365,365,"Statistics: Washington, DC, USA, 2022.",Answer: No.
366,366,"45. Chemanalyst. Chemical Price Analysis, Chemical Latest Prices | ChemAnalyst. 2022. Available online: https://www.",Answer: No.
367,367,chemanalyst.com/Pricing/Pricingoverview (accessed on 23 August 2022).,No.
368,368,"46. Turton, R.; Bailie, R.C.; Whiting, W.B.; Shaeiwitz, J.A. Analysis, Synthesis, and Design of Chemical Processes, 5th ed.; Prentice Hall:",No.
369,369,"Hoboken, NJ, USA, 2018.",Answer: No.
370,370,"47. Hong, S.C.; Musso, T.J. Simons Oil-Price Shocks and the Chemical Industry: Preparing for a Volatile Environment; McKinsey and",No.
371,371,"Company: Atlanta, GA, USA, 2015.",No.
372,372,"48. Knight, P. Oil and Gas Market Volatile, Petrochemical Market May Follow Suit If Invasion Prolongs; University of California Press:",No
373,373,"Berkley, CA, USA, 2022.",No
