,Unnamed: 0,Paragraph,classification
214,214,EF,Answer: No.
215,215,EP,Answer: No.
216,216,Distillation Column,Answer: No.
217,217,E5 − E4,No
218,218,E2 + E3 − E1 + E6 − E7,Answer: No.
219,219,Heat Exchanger,No.
220,220,E3 − E4,Answer: No.
221,221,E3 − E1,Answer: No.
222,222,Compressor,Answer: No.
223,223,E1 + W,Answer: No.
224,224,E2,Answer: No.
225,225,"Energies 2022, 15, 3516",No.
226,226,12 of 20,Answer: No.
227,227,Table 5. Cont.,No
228,228,Component,No.
229,229,Turbine,No
230,230,Reactor,No
231,231,Valve,Answer: No.
232,232,EF,Answer: No.
233,233,E1,No
234,234,E1,No
235,235,E1,No
236,236,EP,No.
237,237,E2 + W,Answer: No.
238,238,E2 − E3 + E4,Answer: No.
239,239,E2,Answer: No.
240,240,"For every component, the following parameters were calculated:",No
241,241,δj =,No.
242,242,γj =,No.
243,243,"ED,j
EF
ED,j
∑j ED,j",Answer: No.
244,244,(15),Answer: No.
245,245,(16),No.
246,246,"where EF is the sum of the exergy of the inlet streams in every process and EP is the exergy
of all the products of every process. For every unit, the exergy efﬁciency η is quantiﬁed by
Equation (17).",No
247,247,"The novel performance parameter ν is introduced for the PCCC, the underground
storage and the DME production plant, deﬁned by Equation (18) as the ratio between the
destroyed exergy in the unit and the non-emitted CO2 ma",Answer: No.
248,248,CO2:,No
249,249,η =,No.
250,250,"EP
EF",Answer: No.
251,251,ν =,No
252,252,"∑j ED,j
ma
CO2",Answer: No.
253,253,(17),"The section does not contain information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design. Therefore, the answer is No."
254,254,(18),No.
255,255,"The values of the mass exergy of natural gas, DME, methanol and hydrogen were
miscalculated by the software Aspen Plus V10; in fact, the software underestimated those
values when the components were below their ignition point. The software mass exergy
values for the streams carrying the above-mentioned components were corrected by adding
the mass lower heating value weighted on the components’ mass fraction in the stream.
The standard lower heating value of natural gas was taken from [50]. The standard lower
heating values of DME, methanol and hydrogen were taken from [53].",No
256,256,4. Results and Discussion,No
257,257,"Exergy analysis was performed to detect the inefﬁciencies of the proposed process
scheme, to locate the elements showing interesting improvement potentials and to compare
the suggested hybrid solution (Route 1) to the complete underground storage (Route 2).
The power plant and the PCCC were analysed with a process-integrated approach as
they represented the common path for both process conﬁgurations. Instead, a very de-
tailed exergy analysis on the underground storage unit and on the DME production plant
was performed.",Answer: Yes.
258,258,"Energies 2022, 15, 3516",No.
259,259,13 of 20,Answer: No.
260,260,4.1. DME Synthesis and CO2 Underground Storage Conﬁguration (Route 1),Answer: Yes.
261,261,"In this section, the exergy analysis of the proposed process solution to avoid carbon
emissions is presented. The recovered carbon dioxide generated by the power plant was
treated to be stored in geological sites for 75% and to be transformed into DME and MeOH
for 25%. Table 6 shows the thermodynamic properties of the main material streams.",No
262,262,Table 6. Thermodynamic properties of selected material streams.,No
263,263,Unit,No
264,264,Power Plant,Answer: No.
265,265,PCCC,Answer: No.
266,266,Underground Storage,Answer: No.
267,267,DME Production Plant,Answer: No.
268,268,"No.
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22",No.
269,269,Fluid,Yes
270,270,Natural Gas,Answer: No.
271,271,Air,Answer: No.
272,272,"Off Gas
H-Steam
I-Steam
L-Steam
Flue Gas
Clean Gas",Answer: No.
273,273,Captured CO2,Answer: No.
274,274,Make up,Answer: No.
275,275,Liqueﬁed CO2,Answer: No.
276,276,CO2,Answer: No.
277,277,"CO2
H2",Answer: No.
278,278,"Reactants
C-1 Feed
C-2 Feed
C-3 Feed
Off Gas
DME
MeOH",Answer: No.
279,279,Dirty Water,Answer: No.
280,280,"ξ (kJ/kg)
47,206",No
281,281,0,Answer: No.
282,282,"1.877
1491
1390
719
122
114
5.13
1.36
4.75
223
4.62",Answer: No.
283,283,"120,000
15,991
15,586
17,858
4523.9
6580.8
26,662
19,497
49.71",Answer: No.
284,284,"m (kg/h)
50,000",No
285,285,"2,572,034
2,622,034
323,828
378,823
168,047
2,532,475
2,410,825
125,015",No
286,286,"3415
89,288
89,288
29,780
3751.35
108,554
108,554
89,061
19,493
3931
10,444
3293.3
16,200",Answer: No.
287,287,"T (K)
288.15
298.15
303.15
813.15
813.50
489.37
303.15
303.15
294.11
311.15
294.11
303.15
294.11
473.15
473.15
440.63
262.48
382.38
251.58
343.10
349.60
384.00",No
288,288,P (bar),Answer: No.
289,289,"18.2
1.013
1.03
149.4
39.2
3.4
3.8
3.8
1.1
3.8
1.1
153
1.1
30
30
21.3
19.5
2.0
1.3
19
1.8
1.8",Answer: No.
290,290,"For every component j in the DME production plant, the exergy destruction ED,j and",Answer: No.
291,291,the parameters δj and γj were calculated based on the method reported in Table 5.,No.
292,292,The exergetic efﬁciencies of the different units were calculated as follows:,No
293,293,ηBJ =,No.
294,294,"WNET,BJ + EHRSG",Answer: No.
295,295,E2,Answer: No.
296,296,ηR =,No.
297,297,ηPCCC =,No
298,298,"WNET,R + EReb",Answer: No.
299,299,"EHRSG
E8 + E9",Answer: No.
300,300,Ereb + WPCCC + E3,Answer: No.
301,301,ηUS =,No.
302,302,E12,Answer: No.
303,303,E11 + WUS,Answer: No.
304,304,ηDME =,No.
305,305,E19 + E20 + E21 + E22,Answer: No.
306,306,"E13 + E14 + WDME + EF,HE1 + EF,C−3",Answer: No.
307,307,(19),Answer: No.
308,308,(20),Answer: No.
309,309,(21),No.
310,310,(22),No.
311,311,(23),No
312,312,"where WNET,BJ and WNET,R are the net electric power in the Brayton–Joule and Rankine
cycles, EHRSG is the exergy exchanged in the Heat Recovery Steam Generator, Ei is the
exergy associated with the i-th stream in Figure 4, EReb is the exergy exported to the reboiler
of the stripper in the PCCC unit, and WPCCC and WDME are the electric power demand in
the PCCC and DME production plant units, respectively. The exergy associated with the
compressor of the off gas (stream no. 3 in Figure 4) was counted in the PCCC unit. The
heat exchanger HE1 in Figure 6 heated up the reactants to 473.15 K; such an amount of heat
was not recovered from anywhere in the process and it was supposed to be provided by a
hot source at a constant temperature of 488.15 K. Instead, HE2 and HE3 supplied the heat",No.
313,313,"Energies 2022, 15, 3516",No
314,314,14 of 20,Answer: No.
315,315,"at the reboilers of C-3 and C-2 respectively. Approximately 42.65% of the heat needed at
the reboiler of C-3 was supplied by the exothermic reactions (1)–(3). The remaining part
was supposed to be provided by a hot source at a constant temperature of 479.64 K (15 K
higher than the temperature at the reboiler of C-3). Therefore, the values of EF,HE1 and of
EF,C−3 were calculated as shown in [54].",Answer: No.
316,316,"The values of ηBJ, ηR, ηPCC, ηUS and ηDME, as well as the values of the destroyed
exergies in the unit, are listed in Table 7, where the results of the exergy analysis of the
different units are listed. The destroyed exergy in each unit was given by the difference
between the denominator and the nominator of the corresponding exergy efﬁciency.",No
317,317,Table 7. Exergy analysis results.,No
318,318,Unit,No.
319,319,Brayton–Joule Cycle,Answer: No.
320,320,Rankine Cycle,Answer: Yes.
321,321,PCCC,Answer: No.
322,322,"Underground Storage
DME Production Plant",Answer: No.
323,323,ED (MW),Answer: No.
324,324,"277.90
108.96
150.23
3.25
41.09",Answer: No.
325,325,"η (%)
45.57
50.05
36.96
62.96
75.74",No.
326,326,ν (MJ/kg),"The section does not come from the text that contains information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design. Answer: No."
327,327,"40.80
0.13
4.97",Answer: No.
328,328,"Figures 7 and 8 show the result of the exergy analysis of the DME production plant. The
distillation column C-1 was mainly responsible for the exergy destruction, as it represented
45.19% of all exergy destruction, and its impact on exergy fuel reduction was worth 12.37%.
In particular, the refrigeration cycle at the top stage of C-1 was the operation associated
with the highest irreversibility, as shown in Figure 9. These values were higher than those of
columns C-2 and C-3, because column C-1 dealt with higher ﬂow rates and separated very
different chemical species. Furthermore, as shown in Table 6, much of the stream fed to
column C-1 left the column from the top at a temperature lower than the feed temperature.
This fact determines the high exergy destruction in the column C-1 condenser. The reactor
was the second-most responsible unit for exergy destruction, and column C-3 was the third.
In particular, the exergy destruction associated with column C-3 was due to the difference
in the speciﬁc exergy ξ of the streams. This is shown in Table 6; in fact, the speciﬁc exergy
of the residue ξ22 was lower than the speciﬁc exergy of the feed ξ18 and speciﬁcally of the
distillate ξ21, but the mass ﬂow of the residue was almost ﬁve times the mass ﬂow of the
distillate. The exergy destruction associated with the reactor was also due to the chemical
exergy difference in reagents and products.",Yes
329,329,Figure 7. Percentage of fuel exergy (EF = 150.13 MW) destroyed per component.,Answer: No.
330,330,"Energies 2022, 15, 3516",Answer: No.
331,331,15 of 20,Answer: No.
332,332,"Figure 8. Percentage of destroyed exergy per component (∑j ED,j = 41.09 MW).",No
333,333,Figure 9. Distribution of destroyed exergy in C-1.,No
334,334,"Figure 10 shows how the exergy destructions were distributed among the units. The
Brayton–Joule cycle was mainly responsible for exergy destruction [55], while underground
storage had the lowest impact.",No
335,335,"Energies 2022, 15, 3516",No.
336,336,16 of 20,No
337,337,Figure 10. Distribution of exergy destruction between the units (total ED = 581.43 MW).,Answer: No.
338,338,4.2. Comparison with CO2 Underground Storage (Route 2),Answer: No.
339,339,"The results of the previous section are hereby compared with the Route 2 solution
to avoid carbon emissions, i.e., 100% underground storage of recovered CO2. The same
power plant and PCCC were analysed; therefore the results for those units were the same
as those in Route 1. The recovered carbon dioxide was supposed to be treated in order to
be completely stored in geological sites. The thermodynamic properties of the material
streams of the power plant and PCCC units in Table 6 are still valid. Figure 11 shows the
exergy destructions distribution among the units.",No
340,340,Figure 11. Distribution of exergy destruction between the units (total ED = 541.42 MW).,No
341,341,"The same conditions for temperature and pressure were set for the underground
stored carbon dioxide in both routes, as shown in Tables 6 and 8. Therefore, the exergy
efﬁciencies of the underground storage unit in Route 1 and in Route 2 were the same, but
exergy destruction in this case accounted for 4.33 MW.",No
342,342,"Energies 2022, 15, 3516",No.
343,343,17 of 20,No
344,344,Table 8. Thermodynamic properties of selected stream materials.,Answer: No.
345,345,"No.
11
12",No.
346,346,"Fluid
CO2",Answer: No.
347,347,Liqueﬁed CO2,Answer: No.
348,348,Unit,No.
349,349,ξ (kJ/kg),Answer: No.
350,350,Underground Storage,Answer: No.
351,351,"4.75
223",Answer: No.
352,352,"m (kg/h)
119,068
119,068",Answer: No.
353,353,"T (K)
294.11
303.15",No
354,354,P (bar),Answer: No.
355,355,"1.1
153",No.
356,356,"The results show a decrease in the total exergy destruction of 6.88% due to the complete
storage of the recovered carbon dioxide. Focusing on the units treating the recovered CO2,
the destroyed exergy in Route 2 was approximately a tenth of the destroyed exergy in
Route 1 (44.34 MW). Despite the consistent reduction in the destroyed exergy, the DME
production plant unit had higher exergy efﬁciency than the underground storage unit. The
process’ intrinsic exergy efﬁciency was higher, but the additional use of high-value energy
and material streams increased the overall exergy destruction. The exergy efﬁciencies and
the destroyed exergy per non-emitted CO2 coefﬁcient are presented in Table 9 for the units
treating the recovered CO2.",No
357,357,Table 9. Comparison between the Route 1 and Route 2 CO2-treating units.,No
358,358,"Route 1
Route 2",Answer: No.
359,359,"η (%)
75.03
62.96",No.
360,360,ν (MJ/kg),Answer: No.
361,361,Avoided CO2,Answer: No.
362,362,"1.34
0.13",No
363,363,"97.50%
100%",Yes
364,364,"Furthermore, the DME production plant unit was able to release available energy to
the environment in the form of DME and MeOH streams. This energy value was quantiﬁed
with the lower heating value of material streams 20 and 21 in Figure 6. The energy gain
(EG) we obtained from DME and MeOH production in the DME production plant was
calculated as the ratio between the sum of the energy transported by streams 20 and 21 and
the exergy destroyed in the Route 1 CO2-treating units:",No.
365,365,EG =,No.
366,366,m20LHV20 + m21LHV21,Answer: No.
367,367,"ED,US + ED,DME",Answer: No.
368,368,(24),Answer: No.
369,369,"The EG value is 2.276 MJ/MJ; in particular, it was 1.875 MJ/MJ for DME production","and 2.313 MJ/MJ for methanol production. The EG value represents the energy consumed per unit of product generated and is an indicator of the process efficiency. A lower EG value indicates a more energy-efficient process. The EG values obtained in this study show that the DME production process has a lower energy consumption compared to the methanol production process.
Answer: No."
370,370,and 0.401 MJ/MJ for MeOH production.,Answer: No.
371,371,5. Conclusions,Answer: No.
372,372,"In the present study, an exergy analysis of a process conﬁguration able to avoid carbon
emissions and to produce DME and methanol is presented. The carbon-emitting source
in this study was a 189 MW power plant. The Brayton–Joule cycle in the power plant
was mainly responsible for exergy destruction, 75% of the produced carbon dioxide was
captured to be stored underground and the remaining 25% was to be transformed into
DME and methanol via reactions with hydrogen. In the plant, the total CO2 generated
by the power cycle was 119,068 kg/h, the amount stored was 89,288 kg/h, the stream
converted was 26,815 kg/h and the amount vented to the atmosphere was 2965 kg/h (2.5%
of the total). The reaction sections converted the CO2 stream into DME (10,381 kg/h) and
methanol (3214.1 kg/h). A second route was considered, i.e., the storage of 100% of the
CO2 generated by the power plant.",No.
373,373,"Of those two routes to avoid carbon emissions, the underground storage offers a much
lower exergy destruction per mass of non-emitted carbon. Inside the DME production plant,
the main contribution to exergy destruction was from the distillation column separating
the reactor outlet stream and, in particular, the top-stage condenser was found to be the
component with the highest irreversibility. This DME synthesis showed a higher efﬁciency
than the underground storage unit, but a higher exergy destruction per non-emitted carbon
dioxide ratio. As a consequence, the process conﬁguration we propose has higher exergetic
efﬁciency and exergy destruction than full geological storage, and produces valuable
compounds, such as DME and methanol. Its feasibility is strictly correlated with the",Answer: No.
374,374,"Energies 2022, 15, 3516",No
375,375,18 of 20,Yes.
376,376,"development of the hydrogen industry, and a future study should evaluate the impact of
hydrogen production at different carbon dioxide shares between DME production and
underground storage. Future works should investigate the optimal CO2 split between
Route 1 and Route 2 and extend exergy analysis to green hydrogen production.",No
377,377,"Author Contributions: Conceptualization, M.D.F., D.W., G.N. and M.C.; methodology, G.N., M.C.
and M.D.F.; software, G.N.; validation, M.D.F., D.W. and G.N.; formal analysis, G.N., M.C. and M.D.F.;
investigation, G.N., M.C. and M.D.F.; resources, P.P., M.S. and G.N.; data curation, G.N., M.D.F. and
D.W.; writing—original draft preparation, G.N. and M.D.F.; writing—review and editing, P.P., D.W.,
I.M.-K., M.S. and M.D.F.; visualization, G.N. and P.P.; supervision, M.D.F., D.W. and I.M.-K.; project
administration, M.D.F., D.W. and I.M.-K.; funding acquisition, M.D.F., D.W. and I.M.-K. All authors
have read and agreed to the published version of the manuscript.",No
378,378,"Funding: This article has been supported by the Polish National Agency for Academic Exchange
under Grant No. PPI/APM/2019/1/00042/U/00001.",No
379,379,Conﬂicts of Interest: The authors declare no conﬂict of interest.,No
380,380,Nomenclature,No
381,381,"DME
MeOH
NGCC
PCCC
HRSG
HP
IP
LP
GT
HT
IT
LT
C-x
HEx
H/C
COP
EG
Ei
EPH
i
ECH
i
ED,j
EF,j
EP,j
ξ
m
ma
δj
γj
ν
η
T
P",Answer: No.
382,382,CO2,Answer: No.
383,383,"Dimethyl Ethanol
Methanol
Natural Gas Combined Cycle
Post-Combustion Carbon Capture
Heat Recovery Steam Generator
High-Pressure Level
Intermediate-Pressure Level
Low-Pressure Level
Gas Turbine
High-Pressure Turbine
Intermediate-Pressure Turbine
Low-Pressure Turbine
Distillation Column number x
Heat Exchanger number x
Hydrogen to Carbon ratio
Coefﬁcient of Performance
Energy Gain
Exergy ﬂow rate of i-th material stream
Physical Exergy ﬂow rate of i-th material stream
Chemical Exergy ﬂow rate of i-th material stream
Desytroyed Exergy ﬂow rate in the j-th component
Fuel Exergy ﬂow rate to the j-th component
Product Exergy ﬂow rate of the j-th component
Speciﬁc Mass Exergy
Mass ﬂow rate
Mass ﬂow rate of avoided CO2
Destroyed Exergy to Fuel Exergy ratio for the j-th component
Speciﬁc Destroyed Exergy in the j-th component
Destroyed exergy per avoided carbon emissions
Exergetic Efﬁciency
Temperature
Pressure",No.
384,384,"Energies 2022, 15, 3516",Answer: No.
385,385,19 of 20,Answer: No.
386,386,"References
1. Majchrzak-Kuc˛eba, I.; Szymanek, P. CCU Technologies in the Green Economy. Eng. Prot. Environ. 2018, 21, 261–271. [CrossRef]
2.
Catizzone, E.; Bonura, G.; Migliori, M.; Frusteri, F.; Giordano, G. CO2 recycling to dimethyl ether: State-of-the-art and perspectives.
Molecules 2018, 23, 31. [CrossRef] [PubMed]",No.
387,387,5.,Answer: No.
388,388,6.,"We cannot determine if this section comes from the text, as it is incomplete and does not provide enough information."
389,389,4.,"This section does not come from the text on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design."
390,390,"3. Masson-Delmotte, V.P.; Zhai, A.; Pirani, S.L.; Connors, C.; Péan, S.; Berger, N.; Caud, Y.; Chen, L.; Goldfarb, M.I.; Gomis, M.; et al.
The Physical Science Basis. Contribution of Working Group I to the 552 Sixth Assessment Report of the Intergovernmental Panel on Climate
Change; Cambridge University Press: Cambridge, UK; New York, NY, USA, 2021.
Hasan, M.M.F.; First, E.L.; Boukouvala, F.; Floudas, C.A. A multi-scale framework for CO2 capture, utilization, and sequestration:
CCUS and CCU. Comput. Chem. Eng. 2015, 81, 2–21. [CrossRef]
Koytsoumpa, E.I.; Bergins, C.; Kakaras, E. The CO2 economy: Review of CO2 capture and reuse technologies. J. Supercrit. Fluids
2018, 132, 3–16. [CrossRef]
Leung, D.Y.C.; Caramanna, G.; Maroto-Valer, M.M. An overview of current status of carbon dioxide capture and storage
technologies. Renew. Sustain. Energy Rev. 2014, 39, 426–443. [CrossRef]
Chauvy, R.; De Weireld, G. CO2 Utilization Technologies in Europe: A Short Review. Energy Technol. 2020, 8, 2000627. [CrossRef]
Dieterich, V.; Buttler, A.; Hanel, A.; Spliethoff, H.; Fendt, S. Power-to-liquid via synthesis of methanol, DME or Fischer–Tropsch-
fuels: A review. Energy Environ. Sci. 2020, 13, 3207–3252. [CrossRef]
Lee, D.; Lee, J.S.; Kim, H.Y.; Chun, C.K.; James, S.C.; Yoon, S.S. Experimental study on the combustion and no x emission
characteristics of DME/LPG blended fuel using counterﬂow burner. Combust. Sci. Technol. 2012, 184, 97–113. [CrossRef]",No.
391,391,"7.
8.",No.
392,392,9.,"The given context does not contain information related to process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design. Answer: No."
393,393,"10. Kim, H.J.; Suh, H.K.; Park, S.H.; Lee, C.S. An experimental and numerical investigation of atomization characteristics of biodiesel,",No
394,394,"dimethyl ether, and biodiesel-ethanol blended fuel. Energy Fuels 2008, 22, 2091–2098. [CrossRef]",Answer: No.
395,395,"11. Wang, S.; Fu, Z. Thermodynamic and economic analysis of solar assisted CCHP-ORC system with DME as fuel. Energy Convers.",No.
396,396,"Manag. 2019, 186, 535–545. [CrossRef]",No.
397,397,"12. Cheng, C.; Zhang, H.; Ying, W.; Fang, D. Intrinsic kinetics of one-step dimethyl ether synthesis from hydrogen-rich synthesis gas",Answer: No.
398,398,"over bi-functional catalyst. Korean J. Chem. Eng. 2011, 28, 1511–1517. [CrossRef]",Answer: No.
399,399,"13. Zhang, Y.; Zhang, S.; Benson, T. A conceptual design by integrating dimethyl ether (DME) production with tri-reforming process",Answer: No.
400,400,"for CO2 emission reduction. Fuel Process. Technol. 2015, 131, 7–13. [CrossRef]",Answer: No.
401,401,"14. Catizzone, E.; Freda, C.; Braccio, G.; Frusteri, F.; Bonura, G. Dimethyl ether as circular hydrogen carrier: Catalytic aspects of",No.
402,402,"hydrogenation/dehydrogenation steps. J. Energy Chem. 2021, 58, 55–77. [CrossRef]",No.
403,403,"15. Bonura, G.; Todaro, S.; Frusteri, L.; Majchrzak-Kuc˛eba, I.; Wawrzy ´nczak, D.; Pászti, Z.; Tálas, E.; Tompos, A.; Ferenc, L.;
Solt, H.; et al. Inside the reaction mechanism of direct CO2 conversion to DME over zeolite-based hybrid catalysts. Appl. Catal. B
Environ. 2021, 294, 120255. [CrossRef]",No.
404,404,"16. Baena-Moreno, F.M.; Gonzalez-Castaño, M.; Arellano-García, H.; Reina, T.R. Exploring proﬁtability of bioeconomy paths:",No
405,405,17.,No.
406,406,"Dimethyl ether from biogas as case study. Energy 2021, 225, 120230. [CrossRef]
Im-orb, K.; Arpornwichanop, A. Comparative techno-economic assessment of bio-methanol and bio-DME production from oil
palm residue. Energy Convers. Manag. 2022, 258, 115511. [CrossRef]",No
407,407,"18. Ott, J.; Gronemann, V.; Pontzen, F.; Fiedler, E.; Grossmann, G.; Kersebohm, B.; Weiss, G.; Witte, C. Methanol. In Ullmann’s",Answer: No.
408,408,"Encyclopedia of Industrial Chemistry; Wiley-VCH Verlag GmbH & Co.: Berlin, Germany, 2012.",Answer: No.
409,409,"19. Kang, S.; Boshell, F.; Goeppert, A.; Prakash, S.G.; Landälv, I. Innovation Outlook: Renewable Methanol; IRENA: Abu Dhabi, United",Answer: No.
410,410,"Arab Emirates, 2021.",No.
411,411,"20. Müller, M.; Hübsch, U. Dimethyl Ether. In Ullmann’s Encyclopedia of Industrial Chemistry; Wiley-VCH Verlag GmbH & Co.: Berlin,",No.
412,412,"Germany, 2000.",No
413,413,"21. PubChem. Available online: https://pubchem.ncbi.nlm.nih.gov/compound/Methane (accessed on 17 February 2022).
22. Traﬁgura. Available online: https://www.traﬁgura.com/media/1687/en_sds_fuel-diesel-vgo_cas-68334-30-5.pdf (accessed on",No.
414,414,"17 February 2021).
Speight, J.G. Handbook of Petroleum Product Analysis; Wiley: Hoboken, NJ, USA, 2015; Volume 53.",No.
415,415,"23.
24. Barbato, L.; Iaquaniello, G.; Mangiapane, A. Reuse of CO2 to Make Methanol Using Renewable Hydrogen. In CO2: A Valuable
Source of Carbon; De Falco, M., Iaquaniello, G., Centi, G., Eds.; Green Energy and Technology; Springer: London, UK, 2013.
[CrossRef]",No
416,416,"25. Hobson, C.; Marquez, C. Renewable Methanol Report; Methanol Institute: Brussels, Belgium, 2018.
26. Huang, C.H.; Tan, C.S. A Review: CO2 Utilization. Aerosol Air Qual. Res. 2014, 14, 480–499. [CrossRef]
27. de Falco, M.; Iaquaniello, G.; Centi, G. CO2: A Valuable Source of Carbon; Green Energy and Technology; Springer: London, UK,",Yes.
417,417,"2013; Volume 137. [CrossRef]
Scott, K. Sustainable and Green Electrochemical Science and Technology; John Wiley and Sons Ltd.: Hoboken, NJ, USA, 2016.",No.
418,418,"28.
29. Pérez-Fortes, M.; Schöneberger, J.C.; Boulamanti, A.; Tzimas, E. Methanol synthesis using captured CO2 as raw material:",No
419,419,"Techno-economic and environmental assessment. Appl. Energy 2016, 161, 718–732. [CrossRef]",No
420,420,30. RWE. Available online: https://www.rwe.com/en/press/rwe-power/2019-05-28-niederaussem-becomes-the-setting-for-,Answer: No.
421,421,important-technological-progress (accessed on 22 February 2022).,No.
422,422,31. MefCO2. Available online: http://www.mefCO2.eu/ (accessed on 21 February 2022).,No.
423,423,"Energies 2022, 15, 3516",No.
424,424,20 of 20,Answer: No.
425,425,32.,"Answer: No.
"
426,426,33.,Yes.
427,427,"Freyr, Ó.; Magistri, L.; Licozar, B.; Diaz, A.S. Green Methanol for a Green Future. MefCO2. 2020. Available online: http:
//www.mefco2.eu/news/green-methanol-for-a-green-future.php (accessed on 23 February 2022).
Fernández-González, J.; Rumayor, M.; Domínguez-Ramos, A.; Irabien, A. Hydrogen Utilization in the Sustainable Manufacture
of CO2-Based Methanol. Ind. Eng. Chem. Res. 2022. [CrossRef]",No
428,428,34. European Commission. Available online: https://cordis.europa.eu/article/id/257671-energyintensive-sectors-can-be-part-of-,Answer: No.
429,429,low-carbon-transition (accessed on 21 February 2022).,No.
430,430,"35. Ayala, P. Methanol Fuel from CO2. Synthesis of Methanol from Captured Carbon Dioxide Using Surplus Electricity. MefCO2.
13 September 2018. Available online: https://etipwind.eu/wp-content/uploads/MefCO2-slides.pdf (accessed on 23 February
2022).",No.
431,431,36. Danish Energy Agency Technology Data for Renewable Fuels. 2017. Available online: https://ens.dk/en/our-services/,No
432,432,projections-and-models/technology-data/technology-data-renewable-fuels (accessed on 24 February 2022).,Answer: No.
433,433,"37. Harp, G.; Tran, K.C.; Bergins, C.; Buddenberg, T.; Drach, I.; Sigurbjornsson, O. Application of Power to Methanol Technology to
Integrated Steelworks for Proﬁtability, Conversion Efﬁciency, and CO2 Reduction. In Proceedings of the METEC 2nd ESTAD,
Düsseldorf, Germany, 15–19 June 2016.",Answer: No.
434,434,"38. Andrei, B.D.; del Mar, P.F.M.; Evangelos, T.; Thea, S. Carbon Capture and Utilisation Workshop: Background and Proceedings;",No
435,435,"Publications Ofﬁce of the European Union: Luxembourg, 2013.",No.
436,436,"39. Carbon Recycling International Ltd. Available online: https://www.carbonrecycling.is/ (accessed on 22 February 2022).
40. Mann, I. Deep Decarbonisation is Within Reach of Europe’s Industrial Regions. March 2021. Available online: https://www.
alignccus.eu/news/align-ccus-ﬁndings-unveiled-deep-decarbonisation-within-reach-europe%E2%80%99s-industrial-regions
(accessed on 24 February 2022).
van Os, P. Accelerating low carbon industrial growth through carbon capture, utilization and storage (CCUS). Greenh. Gases Sci.
Technol. 2018, 8, 994–997. [CrossRef]",No.
437,437,41.,Answer: No.
438,438,"42. Moran, M.J.; Sciubba, E. Exergy Analysis: Principles and Practice. J. Eng. Gas Turbines Power 1994, 116, 285–290. [CrossRef]
43. Mistry, K.H.; Lienhard, J.H. Generalized least energy of separation for desalination and other chemical separation processes.",Answer: No.
439,439,"Entropy 2013, 15, 2046. [CrossRef]",No.
440,440,"44. Bejan, A. Advanced Engineering Thermodynamics; John Wiley & Sons: Hoboken, NJ, USA, 2016.
45. Olaleye, A.K.; Wang, M.; Kelsall, G. Steady state simulation and exergy analysis of supercritical coal-ﬁred power plant with CO2",Answer: No.
441,441,"capture. Fuel 2015, 151, 57–72. [CrossRef]",No.
442,442,"46. Olaleye, A.K.; Wang, M. Conventional and advanced exergy analysis of post-combustion CO2 capture based on chemical",Answer: No.
443,443,"absorption integrated with supercritical coal-ﬁred power plant. Int. J. Greenh. Gas Control 2017, 64, 246–256. [CrossRef]",No
444,444,"47. Blumberg, T.; Morosuk, T.; Tsatsaronis, G. Exergy-based evaluation of methanol production from natural gas with CO2 utilization.",No.
445,445,"Energy 2017, 141, 2528–2539. [CrossRef]",No
446,446,"48. Nakyai, T.; Saebea, D. Energy and exergy analyses of dimethyl ether production using CO and CO2 hydrogenation. Int. J. Smart",No
447,447,"Grid Clean Energy 2019, 8, 544–549. [CrossRef]
Farooqui, A.; Di Tomaso, F.; Bose, A.; Ferrero, D.; Llorca, J.; Santarelli, M. Techno-economic and exergy analysis of polygeneration
plant for power and DME production with the integration of chemical looping CO2/H2O splitting. Energy Convers. Manag. 2019,
186, 200–219. [CrossRef]
Fout, T.; Zoelle, A.; Keairns, D.; Turner, M.; Woods, M.; Kuehn, N.; Shah, V.; Chou, V.; Pinkerton, L. Cost and Performance Baseline
for Fossil Energy Plants Volume 1a: Bituminous Coal (PC) and Natural Gas to Electricity Revision 3; National Energy Technology
Laboratory (NETL): Pittsburgh, PA, USA; Morgantown, WV, USA, 2015; Volume 1a.",No.
448,448,49.,No
449,449,50.,No.
450,450,"51. De Falco, M.; Capocelli, M.; Giannattasio, A. Membrane Reactor for one-step DME synthesis process: Industrial plant simulation",Answer: No.
451,451,"and optimization. J. CO2 Util. 2017, 22, 33–43. [CrossRef]",No
452,452,"52. Dincer, I.; Rosen, M.A.; Khalid, F. Ocean (Marine) Energy Production. In Comprehensive Energy Systems; Elsevier: Amsterdam, The",Answer: No.
453,453,"Netherlands, 2018; Volumes 3–5.",Answer: No.
454,454,"53. Perry, R.H.; Green, D.W. Perry’s Chemical Engineers’ Handbook, 8th ed.; McGraw-Hill: New York, NY, USA, 2013; Volume 53.
54. Demirel, Y.; Sieniutycz, S. Nonequilibrium Thermodynamics: Transport and Rate Processes in Physical and Biological Systems.",Answer: No.
455,455,"Appl. Mech. Rev. 2003, 56, 275–540. [CrossRef]",No.
