,Unnamed: 0,Paragraph,classification
265,265,1,Answer: No.
266,266,0,Answer: No.
267,267,"10
VP
135
1.05",Answer: No.
268,268,1,Answer: No.
269,269,0,Answer: No.
270,270,"36,349.8
1691.95
2215.27
29,426.1
6.21 × 10
−18
1.42 × 10
−40
0.0109448
3016.54
3.42 × 10
−9
8.00 × 10
−14
6.748.00 × 10",Answer: No.
271,271,−21,Answer: No.
272,272,"36,349.8
1691.95
2215.27
29,426.1
6.21 × 10
−18
1.42 × 10
−40
0.0109448
3016.54
3.42 × 10
−9
8.00 × 10
−14
6.74 × 10
−21",Answer: No.
273,273,"36,349.8
1691.95
2215.27
29,426.1
6.21 × 10
−18
1.42 × 10
−40
0.0109448
3016.54
3.42 × 10
−9
8.00 × 10
−14
6.74 × 10
−21",Answer: No.
274,274,"11
VP",No
275,275,328.048,No.
276,276,0.05,No
277,277,1,No
278,278,0,Answer: No.
279,279,"6120
6120",No
280,280,"0
0
0
0
0
0
0
0
0",No.
281,281,OFF-GAS AIR-IN,Answer: No.
282,282,NAT-GAS,Answer: No.
283,283,"VP
27
1.28",No
284,284,1,Answer: No.
285,285,0,Answer: No.
286,286,"VP
20
1",Answer: No.
287,287,1,Answer: No.
288,288,0,Answer: No.
289,289,"VP
20
20",Answer: No.
290,290,1,Answer: No.
291,291,0,Answer: No.
292,292,"15,000",No
293,293,"20,772.3",No.
294,294,577.539,No
295,295,"270
0",Answer: No.
296,296,"13,492
15.5
82
221
916
3.5
0
0",Answer: No.
297,297,"0
0",No
298,298,"15,934.1",No.
299,299,"0
0
0",Answer: No.
300,300,4838.22,No.
301,301,"0
0
0",Answer: No.
302,302,"0
0
0
0
0
0
0
0
0",No.
303,303,577.539,No
304,304,"The theoretical net power (Figure 5) of co-incineration of waste industrial gases from metal oxide
catalyst formaldehyde production processes in a combined-cycle gas turbine is 4239 kW. According to
the low heat value (LHV) of the natural gas, at the gas consumption of 577.5 kg/h the efficiency is 52.6%.
To compare how much less natural gas is consumed to produce the same amount of electricity
as in the process shown in Figure 5, a computer simulation of combined cycle gas turbines (CCGT)
is shown in Figure 6 for electricity production using only natural gas. The results of the computer
simulation of combined cycle gas turbines (Figure 6) are given in Table 5.",No.
305,305,"According to the data of the waste oﬀ-gases’ composition from the existing metal oxide catalyst
formaldehyde production processes given in Table 1, the device for co-incineration of waste industrial
gases with a combined-cycle gas turbine is small.",Answer: No.
306,306,"This makes it diﬃcult to optimize its performance in terms of maximizing eﬃciency. Newer,",Answer: No.
307,307,"large CCGTs can achieve eﬃciencies of more than 55%, some even close to 60% [23].",No.
308,308,"Appl. Sci. 2020, 10, 4702",No.
309,309,11 of 15,Yes.
310,310,Figure 6. Computer simulation of the combined-cycle gas turbine.,Answer: Yes.
311,311,Table 5. Results of computer simulation of the combined-cycle gas turbines.,No.
312,312,Stream Name,No
313,313,Units,No
314,314,Phase,Answer: No.
315,315,Temperature,No
316,316,Pressure,No
317,317,Mass Vapor,Answer: No.
318,318,Fraction,Yes.
319,319,Mass Liquid,Answer: No.
320,320,Fraction,No
321,321,Mass Flows,Answer: No.
322,322,"Water
CO2
N2
O2",Answer: No.
323,323,Methane,Answer: No.
324,324,"C
bar",Answer: No.
325,325,"kg/hr
kg/hr
kg/hr
kg/hr
kg/hr
kg/hr",Answer: No.
326,326,"3
VP",Answer: No.
327,327,499.72,No
328,328,20,Answer: No.
329,329,1,Answer: No.
330,330,0,No.
331,331,"35,936.1",No
332,332,"0
0",Answer: No.
333,333,"27,565.9
8370.12",No
334,334,0,Answer: No.
335,335,"4
VP
1270
20",No
336,336,1,Answer: No.
337,337,0,Answer: No.
338,338,"5
VP",Answer: No.
339,339,"607.52
1.05",No.
340,340,1,Answer: No.
341,341,0,Answer: No.
342,342,"10
VP
135
1.05",Answer: No.
343,343,1,Answer: No.
344,344,0,Answer: No.
345,345,"36,652.2
1608.4
1964.6
27,565.9
5513.27
5.95 × 10
−18",Answer: No.
346,346,"36,652.2
1608.4
1964.6
27,565.9
5513.27
5.95 × 10
−18",Answer: No.
347,347,"36,652.2
1608.4
1964.6
27,565.9
5513.27
5.95 × 10
−18",Answer: No.
348,348,"11
VP",No
349,349,328.048,No
350,350,0.05,No
351,351,1,Answer: No.
352,352,0,Answer: No.
353,353,"6120
6120",No.
354,354,"0
0
0
0",Answer: No.
355,355,AIR-IN,No
356,356,NAT-GAS,Answer: No.
357,357,"VP
20
1",Answer: No.
358,358,1,Answer: No.
359,359,0,"The section does not come from the text containing information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design. Therefore, the answer is No."
360,360,"VP
20
20",Answer: No.
361,361,1,Answer: No.
362,362,0,Answer: No.
363,363,"35,936.1",No
364,364,716.149,Answer: No.
365,365,"0
0",Answer: No.
366,366,"27,565.9
8370.12",Answer: No.
367,367,0,Answer: No.
368,368,"0
0
0
0",Answer: No.
369,369,716.149,No
370,370,"The theoretical net power of a combined-cycle gas turbine, presented in Figure 6, is 4333 kW.
According to the (LHV) used natural gas, the eﬃciency is 43.3% at the natural gas consumption of
716.2 kg/h.",No
371,371,"By comparing the results of the computer simulation shown in Table 5, it is evident that the
co-incineration of waste gases from the existing formaldehyde production processes (Figure 5) with
combined cycle gas turbines (Figure 6) consumed up to 20% less natural gas.",No.
372,372,"A gas turbine requires a large amount of air for its operations. When mixing air with the
oﬀ-gases produced by the metal oxide catalyst formaldehyde production processes, the concentration
of oﬀ-gas/air mixture is very low. Increasing the oﬀ-gas/air mixture concentration would reduce the
wasteful amount of natural gas at the co-incineration of waste industrial gases with a combined-cycle
gas turbine, but further research is required to avoid an explosion in the gas turbine compressor.",No
373,373,"Appl. Sci. 2020, 10, 4702",No.
374,374,12 of 15,Answer: No.
375,375,6. Economics of Co-Incineration of Waste Gases,Answer: No.
376,376,"Manufacturing processes in the chemical process industry require a lot of energy for their operation.
The electricity required to operate the chemical process can be obtained from the electricity grid or
can be produced by our own production. The heat required for operation of the chemical process
could be produced or utilize the heat ﬂows of the production process through thermal integration.
When consuming electricity from the electricity grid, except for the cost of energy consumed, it is
necessary to pay the connection power, transport, distribution, CO2 emissions, and other taxes,
which diﬀer from one country to another.",No.
377,377,"For own production of electricity for the purposes of the chemical process, apart from the cost of
consuming primary energy to produce electricity, there are no other taxes than CO2 tax. Of course,
it is necessary to take into account the investment costs in the power plant for electricity production.
Electricity generation for transmission to the electricity grid is not cost eﬀective due to the low purchase
price, except in the case of subsidies for the use of renewable sources or the combination of heat
and power.",No
378,378,"If the heat required for the operation of the chemical production process is taken from the CCGT
power plant, steam is withdrawn before entering the steam turbine. In this case, the power plant is
called CHP (Combined Heat and Power). Some countries promote CHP through subsidized energy
production, where electricity can be supplied to the electricity grid or consumed for its own production
process, which is also economically most favorable.",No
379,379,"The research for removing formaldehyde and other VOCs from the oﬀ-gases produced by the
metal oxide catalyst formaldehyde production process presented in this article was not intended to
investigate the economics of the various methods of electricity generation but with a view to reducing
the cost of the ecological problem posed by removing formaldehyde from oﬀ-gases.",No
380,380,"A comparison of the savings for natural gas costs in electricity production with the co-incineration
of waste industrial gases from metal oxide catalyst formaldehyde production process with CCGT
(Figure 5) and CCGT using only natural gas as energy (Figure 6) is shown in Figure 7.",No
381,381,"Due to changes in the market price of natural gas, Figure 7 shows the dependence of the cost
savings of natural gas when CCGT co-incineration of waste gases operating 8500 h/year and CCGT
operation of the same power on natural gas only.",No.
382,382,Figure 7. Cont.,Answer: No.
383,383,"Appl. Sci. 2020, 10, 4702",Answer: No.
384,384,13 of 15,Answer: No.
385,385,Figure 7. Savings of natural gas costs when co-incineration of waste gases operating 8500 h/year.,Answer: No.
386,386,7. Conclusions,No
387,387,"The current process of removing formaldehyde and VOCs from waste gas produced by metal oxide
catalyst formaldehyde production processes will no longer meet the expected new EU environmental
directives. Therefore, a study of possible new technical solutions was conducted to signiﬁcantly reduce
the concentration of formaldehyde and VOCs in the waste gases generated by the formaldehyde
production process with metal oxide.",No
388,388,Computer simulations of the proposed new technical solutions for the removal of formaldehyde,Answer: Yes.
389,389,and VOCs from waste gases were performed with the Aspen Plus software package.,No
390,390,"The ﬁrst proposed technical solution for the removal of formaldehyde and VOCs from waste
gases produced by metal oxide catalyst formaldehyde production processes (Figure 1) is an upgrade
of the existing process by the additional absorption of formaldehyde present in ﬂue gases in water
(Figure 2). In the computer simulation, the equilibrium absorption constants and reactions of low
concentrations of formaldehyde in water were taken into account.",No
391,391,"By describing an additional new process for absorbing low concentrations of formaldehyde from
waste gases (Figure 2) and comparing the data obtained with the measurements of the real production
process (Figure 1) given in Table 1 and the results of computer simulation given in [12], formaldehyde
emissions into the environment can be reduced by more than ﬁve times. The heat generated by the
process of removing formaldehyde and VOCs from waste gases produced by metal oxide catalyst
formaldehyde production processes (Figures 1 and 2) can be used to produce steam used for the
production process or to generate electricity.",No
392,392,"The second proposed technical solution in the conducted study is the co-combustion of waste
gases produced by metal oxide catalyst formaldehyde production processes with CCGT (Figure 5) or
CHP if the steam produced is used for heat production instead of electricity production. The results of a
computer simulation of co-incineration of waste gases generated by metal oxide catalyst formaldehyde
production processes with CCGT or CHP are given in Table 4, which shows that the concentration of
formaldehyde and VOCs in the waste gases decreased to practically zero.",No.
393,393,"In the performed research of the removal of formaldehyde and VOCs by co-incineration of waste
gases produced by metal oxide catalyst formaldehyde production processes with CCGT or CHP power
plants, we removed formaldehyde and VOCs from the waste gas and saved the cost of electricity or heat
required to operate the production process, which is in line with the expected new EU environmental
directives, sustainable development, and the company’s global competitiveness.",No
394,394,"Appl. Sci. 2020, 10, 4702",Answer: No.
395,395,14 of 15,No
396,396,"Author Contributions: J.M. is PhD student at the University of Maribor and it is an expert in the area of
formaldehyde and forlamdehyde resins used wood industry. He developed the model for formaldehyde
elimination from waste gases. D.G. is a full professor at the University of Maribor. He developed the model in
Aspen Plus together with the assistant professor D.U. All authors worked together in the results interpretation
and paper preparation. All authors have read and agreed to the published version of the manuscript.
Funding: This research received no external funding.
Conﬂicts of Interest: The authors declare no conﬂict of interest.",No
397,397,Abbreviations,No
398,398,"K
Kh
kh
kd
LP
m
ps
VP
βg
βl",Answer: No.
399,399,"mass-transfer coeﬃcient, m/s
chemical equilibrium constant of the formaldehyde hydration, dimensionless number
−1
reaction rate constant of hydration, s
reaction rate constant of dehydration, s
liquid phase
equilibrium constant in gas–liquid system
pure component vapor pressure, kPa
vapor phase
mass-transfer coeﬃcients in a gas phase, m/s
mass-transfer coeﬃcients in a liquid phase, m/s",Answer: No.
400,400,−1,No
401,401,References,No
402,402,"1. Walker, J.F. Formaldehyde, 3rd ed.; Robert. E. Krieger Publishing Co.: Huntington, NY, USA, 1975.
2.",Answer: No.
403,403,"Aspen, J.; Gao, S.; Hawari, Y.; Lam, E.; Larsson, T. Optimization of Formaldehyde Plant, Feasibility Studies
KET050; Haldor Topsøes: Lyngby, Denmark, 2015.
Shawabkeh, R. Production of Formaldehyde from Methanol; Integrated Final Report; King Fahd University of
Petroleum & Minerals: Dhahran, Saudi Arabia, 2012.
Bahmanpour, A.M.; Hoadley, A.; Tanksale, A. Critical review and exergy analysis of formaldehyde production
processes. Rev. Chem. Eng. 2014. [CrossRef]
Lunev, N.K.; Shmyrko, Y.I.; Pavlenko, N.V.; Norton, B. Selective formation of formaldehyde from carbon
dioxide and hydrogen over PtCu/SiO2. Proc. Appl. Organomet. Chem. 2001, 15, 148–150.
Qian, M.; Liauw, M.A.; Emig, G. Formaldehyde synthesis from methanol over silver catalysts. Appl. Catal.
A Gen. 2003. [CrossRef]",No
404,404,3.,No
405,405,4.,Answer: No.
406,406,5.,Yes.
407,407,6.,Answer: No.
408,408,"7. Millar, G.J.; Collins, M. Industrial Production of Formaldehyde Using Polycrystalline Silver Catalyst. Ind. Eng.",Answer: No.
409,409,8.,Answer: No.
410,410,9.,"The section in context does not come from the text that contains information on at least one of the following: process description, process design, process simulation, flowsheet description, flowsheet synthesis, flowsheet design. Answer: No."
411,411,"Chem. Res. 2017, 56, 9247–9265. [CrossRef]
Directive Council. European Commission Establishing Best Available Techniques (BAT) Conclusions,
under Directive 2010/75/EU of the European Parliament and of the Council, for the production of large
volume organic chemicals. Oﬀ. J. Eur. Union 2004, 334, 17–119. Available online: http://eur-lex.europa.eu/pri/
en/oj/dat/2003/l_285/l_28520031101en00330037.pdf (accessed on 10 December 2019).
Zhou, X.; Liu, Y.; Song, C.; Wang, X.; Wang, F.; Liu, J. A novel method to determine the formaldehyde
emission characteristic parameters of building materials at multiple temperatures. Build. Environ. 2019.
[CrossRef]",No.
412,412,"10. Chen, W.; Mendell, M.; Li, N.; Kumagai, K. Formaldehyde emissions from seams and cut edges of laminate
ﬂooring: Implications for emission testing protocols and exposure estimation. Build. Environ. 2018.
[CrossRef]",No
413,413,"11. Li, B.; Cheng, Z.; Yao, R.; Wang, H.; Yu, W.; Bu, Z.; Xiong, J.; Zhang, T.; Essah, E.; Luo, Z.; et al. An investigation
of formaldehyde concentration in residences and the development of a model for the prediction of its
emission rates. Build. Environ. 2019. [CrossRef]",No.
414,414,"12. Kuramshina, K.S.; Pavlova, K.A. Physical and chemical analysis of formaldehyde absorption process. J. Eng.",No
415,415,"Appl. Sci. 2016, 11, 9655–9663.",No
416,416,"13. Winkelman, J.G.M.; Voorwinde, O.K.; Ottens, M.; Beenackers, A.A.C.M.; Janssen, L.P.B.M. Kinetics and",No.
417,417,chemical equilibrium of the hydration of formaldehyde. Chem. Eng. Sci. 2002. [CrossRef],No
418,418,"Appl. Sci. 2020, 10, 4702",No.
419,419,15 of 15,No.
420,420,"14. Albert, M.; Garcia, B.G.; Kreiter, C.; Maurer, G. Vapor-liquid and chemical equilibria of formaldehyde-water",Answer: No.
421,421,mixtures. AIChE J. 1999. [CrossRef],No.
422,422,"15. Maurer, G. Vapor-Liquid Equilibrium of Formaldehyde- and Water-Containing Multicomponent Mixtures.",Answer: No.
423,423,"AIChE J. 1986, 32, 932–948. [CrossRef]",No.
424,424,"16. Hahnenstein, I.; Albert, M.; Hasse, H.; Kreiter, C.G.; Maurer, G. NMR Spectroscopic and Densimetric Study of
Reaction Kinetics of Formaldehyde Polymer Formation in Water, Deuterium Oxide, and Methanol. Ind. Eng.
Chem. Res. 1995. [CrossRef]",No
425,425,"17. Hahnenstein, I.; Hasse, H.; Kreiter, C.G.; Maurer, G. 1H- and 13C-NMR-Spectroscopic Study of Chemical
Equilibria in Solutions of Formaldehyde in Water, Deuterium Oxide, and Methanol. Ind. Eng. Chem. Res. 1994.
[CrossRef]",Yes.
426,426,"18. Hahnenstein, I.; Hasse, H.; Liu, Y.Q.; Maurer, G. Thermodynamic Properties of Formaldehyde Containing
In AIChE Symposium Series; American Institute of Chemical",No.
427,427,"Mixtures for Separation Process Design.
Engineers: New York, NY, USA, 1994; p. 141.
Fredenslund, A. Vapor—Liquid Equilibria Using UNIFAC, a Group Contribution Method; Elsevier: Amsterdam,
The Netherlands, 1977.",No
428,428,19.,Answer: No.
429,429,"20. Kogan, L.V. State of the Vapor Phase above Solutions of Formaldehyde in Water and Methanol.",Answer: No.
430,430,"Zhur. Prikl. Khim. 1979, 52, 2576–2578.",No.
431,431,"21. Winkelman, J.G.M.; Beenackers, A.A.C.M. Correlations for the density and viscosity of aqueous formaldehyde",Answer: No.
432,432,22.,No.
433,433,"solutions. Ind. Eng. Chem. Res. 2000. [CrossRef]
Seyedan, B.; Dhar, P.L.; Gaur, R.R.; Bindra, G.S. Computer simulation of a combined cycle power plant.
Heat Recover. Syst. CHP 1995. [CrossRef]",No
434,434,"23. Colmenar-Santos, A.; Gómez-Camazón, D.; Rosales-Asensio, E.; Blanes-Peiró,",Answer: No.
435,435,"J.J. Technological
improvements in energetic eﬃciency and sustainability in existing combined-cycle gas turbine (CCGT)
power plants. Appl. Energy 2018. [CrossRef]",No
436,436,"© 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access
article distributed under the terms and conditions of the Creative Commons Attribution
(CC BY) license (http://creativecommons.org/licenses/by/4.0/).",No
